id,marker,start,end,title,desc,pic,pos,color,size,opacity,edge,mapMarker,mapColor,mapSize,where,show,click,citation
,dot,22,,Traditional Tibet,,,1,green,,,,,,,,,story:over-1,
,dot,66,,The Dalai Lamas,,,2,green,,,,,,,,,"story:minors-1+where:91.2471,29.7318,153",
,dot,110,,Art and Architecture,,,3,green,,,,,,,,,story:art-1+show:artbook,
,dot,154,,Festivals,,,4,green,,,,,,,,,story:soc-1+show:calbook,
,dot,198,,Ecology,,,5,green,,,,,,,,,story:env-1+show:geo/climate,
,,242,,,,,,,,,,,,,,,,
,dot,286,,Chinese Tibet,,,5,red,,,,,,,,,story:over-2,
,dot,330,,Occupation,,,4,red,,,,,,,,,story:invasion-2,
,dot,374,,Communist Control,,,3,red,,,,,,,,,story:comm-2+basemap:Satellite,
,dot,418,,Dalai Lama,,,2,red,,,,,,,,,story:dl-2,
,dot,462,,Today,,,1,red,,,,,,,,,story:today-2,
,,506,,,,,,,,,,,,,,,,
,dot,550,,Indian Diaspora,,,1,blue,,,,,,,,,story:over-3,
,dot,594,,Demography,,,2,blue,,,,,,,,,story:demo-3,
,dot,638,,Government in Exile,,,3,blue,,,,,,,,,story:exile-3+show:exilebook,
,dot,682,,Dalai Lama,,,4,blue,,,,,,,,,story:dl-3,
,dot,726,,Culture,,,5,blue,,,,,,,,,story:culture-3,
,,770,,,,,,,,,,,,,,,,
,dot,814,,World Diaspora,,,5,#777,,,,,,,,,story:wd-1+basemap:Satellite,
,dot,858,,Demography,,,4,#777,,,,,,,,,story:wd-2+basemap:Satellite,
,dot,902,,Western Interactions,,,3,#777,,,,,,,,,story:wd-3+basemap:Earth,
,dot,946,,The Dalai Lama,,,2,#777,,,,,,,,,story:wd-4+basemap:Earth,
,dot,990,,Global Tibet,,,1,#777,,,,,,,,,story:wd-5+basemap:Satellite,
,over,11,61,,,,,,,,,https://c1.staticflickr.com/5/4443/26215614179_3559bb32a6_o_d.jpg,,,"29.95349319616613,29.364969373500692,91.58744104984565,90.68204030392265,0,105",se,,
,over,275,325,,,,,,,,,https://c1.staticflickr.com/5/4475/37991426551_9e31b49828_o_d.jpg,,,"29.95829810853209,29.364913901032168,92.8418321561611,91.88523417640792,0,105",se,,
,over,539,589,,,,,,,,,https://c1.staticflickr.com/5/4470/37991427001_631da747b7_o_d.jpg,,,"29.17054466013831,28.6097754229964,91.57484537613323,90.67082617141287,0,105",se,,
,over,802,840,,,,,,,,,https://c1.staticflickr.com/5/4456/37938249866_e254cf45b8_o_d.jpg,,,"29.18666470595088,28.606337747562772,92.81248548399508,91.91435315977635,0,105",se,,
,over,990,1000,,,,,,,,,https://c1.staticflickr.com/5/4477/26215613719_1780a988a4_o_d.jpg,,,"29.489065280811836,28.905896559014117,95.8178514632575,94.91210711173831,0,105",se,,
,over,0,11,Intro graphic overlay,,,,,,80,,https://farm5.staticflickr.com/4543/37792635775_c335d49588_o_d.gif,,,"58.08345871661528,1.6735187410604482,135.24615905117582,34.98492858242582,0",se,,
,segment,12,212,Identity 1,,,,#ccc,equal,,,,,,,,"story:over-1+where:-2.2541,31.6421,40000+basemap:Satellite",
,segment,276,476,Identity 2,,,,#ccc,,,,,,,,,"story:over-2+where:-2.2541,31.6421,40000+basemap:Satellite",
,segment,540,740,Identity 3,,,,#ccc,,,,,,,,,"story:over-3+where:-2.2541,31.6421,40000+basemap:Satellite",
,segment,804,1000,Identity 4,,,,#ccc,,,,,,,,,"story:wd-1+where:-2.2541,31.6421,40000+basemap:Earth",
,segment,,,Overview,,,,#ccc,,,,,,,,,"where:88.8069,28.6903,13045+basemap:Satellite+story:mainIntro",
mainIntro,story,1,,Overview,"<p><img src=""https://farm5.staticflickr.com/4527/24399998098_c145910ef7_o_d.jpg"" style=""vertical-align:top;margin-right:16px;width:75%"" /></p><p style=""width:75%;color:#555""><i><b>This interactive visualization explores changes in Tibetan Identity using contemporary Tibetan artist Gonkar Gyatso&rsquo;s artwork as a guide to the geopolitical, religious, and cultural aspects of Tibet, from traditional times to the modern Tibetan diaspora.</i></b></p>Each of the four panels reflects a different period for Tibet. Ciicking one of the <i>Identity</i> segments provides an indepth view of the period using the artwork as a guide, and clicking on individual dots will dig deeper into topics within that view.<p><strong>Traditional Tibet</strong></p><p>Provide a historical context of the traditional elements in Tibetan culture including art, religion, and society that continue to serve as the backbone of Tibetan culture today by examining the culture and practices of traditional Tibet prior to 1950 and effects of modernization.</p><p><strong>China and Tibet </strong></p><p>Visually represent the causes and ramifications of China and Tibet&nbsp;&nbsp;from 1959 to present day. It explores the ways in which Tibetans reacted to China's actions, the international responses to this humanitarian issue, as well as how daily life and Tibetan identity have ultimately been changed.</p><p><strong>Indian Diaspora</strong></p><p>With the first mass exodus beginning in 1959, this portion seeks to understand how people of the Tibetan Diaspora fleeing to India have retained certain aspects of their culture while also understanding how leaving their homeland has changed religious practices, political structures, and daily cultural life.</p><p><strong>World Diaspora</strong></p><p>Examining the hybridization of Tibetan identity and culture following the post-1980 global diaspora. </p><p><strong>About this project</strong></p><p>This project was created in an undergraduate seminar at the University of Virginia <em>Introduction to the Digital Liberal Arts </em>(Media Studies 3703), a project-based learning class that uses interactive technology to explore topics in the humanities. All opinions expressed are solely the responsibility of the students themselves. Click story(here,process) to see details on the process.</p><p><b>Narrated screencast</b><p>Click <a href=""https://youtu.be/vREjIIbPYnk"" target=""_blank"">here</a> to see a roughly narrated screencast showing the project.</p>",,,,,,,,,,"88.8069,28.6903,13045",,,
,,,,,TRADITIONAL,,,,,,,,,,,,,
over-1,story,22,,Traditional Tibet,"This visualization explores change in Tibet by using contemporary Tibetan artist Gonkar Gyatso’s <i>My Identity</i> series composed of four photographic self-portraits that depict his conception of different aspects of Tibetan identity across time and space. <p>The first self-portrait, which features Gyatso as a traditional Tibetan painter, is based on a photograph of Tsering Dondrup, the Thirteenth Dalai Lama's senior court painter, taken in 1937 by the American photographer Charles Suydam Cutting. Cutting was one of the first Westerners to enter the forbidden city of Lhasa, the capital of Tibet <i>(You can enlarge the photograph on the left by clicking on it).</i>  In this and the other self-portraits in the series, Gyatso assumes the pose of Tsering Dondrup.</p><p>This initial composition in the series shows Gyatso painting a thangka, a traditional Tibetan painting on cloth, that has Shakyamuni Buddha as its central figure. The Buddha is depicted displaying a <i>bhumisparsha,</i> “Earth Witness,” mudra. Gyatso wears the clothing and jewelry of a traditional Tibetan aristocrat and is surrounded by art utensils from pre-1950 Tibet. The whole setting is carefully constructed to take us back to the spaces of traditional Tibetan homes and monasteries. The colorful walls exhibit thangkas that have their silk covers veiling the paintings; a wood-carved table holds fine hair brushes, bowls with mineral pigments, and a silver-lidded teacup; a matching traditional cabinet has a flower vase on top. </p><p>Two elements remain the same in all of Gyatso’s four compositions: a little black wooden box and the artist’s pose. The initial template for Gyatso’s<i> identity,</i> Tsering Dondrup’s photograph, lingers across all the self-portraits. These recurring images form a connection between the different Tibetan ways of being, invoking the intricacies and complexities of the artist’s own search for a Tibetan identity.</p>",https://farm5.staticflickr.com/4525/38807502291_87527b8a31_z_d.jpg,,,,,,,,,,,,
,over,65,109,Spiral,,,,,,,,https://farm5.staticflickr.com/4572/38358669382_7f920a5612_o_d.png,,,"30.100802650006333,29.378312100123193,91.69271350754038,90.86058665500185,0",se,,
,,66,109,,,,,,200,,,dot,,,"91.2099,29.6858",se,story:ava-1,
,,66,109,,,,,,30,,,dot,,,"91.2141,29.8516",se,story:minors-1,
,,66,109,,,,,,40,,,dot,,,"91.2869,29.8421",se,story:minors-1,
,,66,109,,,,,,50,,,dot,,,"91.3653,29.8075",se,story:3rd-1,
,,66,109,,,,,,60,,,dot,,,"91.4271,29.7288",se,story:minors-1,
,,66,109,,,,,,70,,,dot,,,"91.4298,29.6273",se,story:5th-1,
