id,marker,start,end,title,desc,pic,pos,color,size,opacity,edge,mapMarker,mapColor,mapSize,where,show,click,citation,tags
,triup,1818,,Will of David Wood,,,1,#b45f06,,,,,,,,,show:woodWill,,
,dot,1819,,Rogers marries,"(BIG)James B. Rogers married Margaret Lewis Wood after her father, David Wood, had died the previous year. Her mother was Mildred Walker Lewis, the daughter of Nicholas Lewis, a friend of Thomas Jefferson's.<br><br>Margaret brought to her marriage an enslaved boy who had been left to her in her father 's will. James Baber Rogers was the son of Parmenas Rogers and Frances Baber. After James' mother died, his father had married Elizabeth Ferguson of Free Union.<br><br>Parmenas and Elizabeth Rogers’ home, Willow Glen, was on the banks of Piney Creek. James B. Rogers had matriculated at the University of Pennsylvania in 1817-1818 and had become a physician.",,2,#0000ff,,,,,,,,,,,
,triup,1820,,1820 census,,,3,#b45f06,,,,,,,,,show:1820Census,,
,dot,1823,,Son William born,(BIG)William G. Rogers was born.,,4,#0000ff,,,,,,,,,,,
,dot,1824,,Daughter Martha born,"(BIG)James B. Rogers bought 143 acres sharing common property lines with Longwood, home of James Michie Jr, and the home of Cloe Evans, a Free Person of Color. The land is in the Earlysville area of Albemarle County, near the homes of both Parmenas Rogers and Mildred Wood. It fronts on  Buck Mountain Road. Martha Walker Rogers was born.",,5,#0000ff,,,,,,,,,,,
,triup,1830,,1830 census,,,6,#b45f06,,,,,,,,,show:1830Census,,
,dot,1836,1838,Buys land,"(BIG)Parmenas Rogers, father of James B. Rogers, died.  J. B. Rogers bought 692 acres of land on the south fork of the Rivanna River from David and Frances Ann Michie who had inherited the land from their father, William Michie in 1830.  It is near the original site of  William Michie’s Tavern.",,1,#0000ff,,,,star,#990000,,"-101.8275,38.3421",se,,,
,dot,1838,,Rogers mother in-law dies,"(BIG)Margaret Wood Rogers' mother, Mildred Walker Wood died. The Rogers now owned 21 slaves, eight were males, five under 10, two between 10-23, and one between 23-35. Thirteen were female, five under 10, four between 10-23, one between 24-35 and three between 36-54. At least three of these slaves were former dower slaves of Mildred Wood which had come to her daughter sometime before or after Mildred's death.",,2,#0000ff,,,,,,,,,,,
,triup,1840,,1840 census,"The Rogers' own 21 slaves, Eight are males, 5 under 10, 2 between 10-23, and one between 23-35. Thirteen are female, 5 under 10, 4 between 10-23, one between 24-35 and 3 between 36-54. At least three of these slaves were former dower slaves of Mildred Wood which had come to her daughter sometime before or after Mildred's death.",,3,#b45f06,,,,,,,,,show:1840Census,,
,dot,1843,,Daughter marries,"(BIG)The Rogers' daughter, Martha Walker Rogers, married her cousin, Dr. Alfred Cole Wood.",,4,#0000ff,,,,,,,,,,,
,dot,1845,,1845 slave gifts,"(BIG)Between 1845 and 1849 Rogers gave his daughter Martha Wood and her husband three enslaved children, born to people on his plantation. Each was a child 8 years old, the age at which a child was expected to be earning more than it cost for upkeep.",,5,#0000ff,,,,,,,,,,,
,dot,1849,,Son marries,"(BIG)The Rogers' son, Dr. William G. Rogers married his cousin, Marion Wood.",,6,#0000ff,,,,,,,,,,,
,triup,1850,,1850 slave schedule,,,1,#b45f06,,,,,,,,,show:1850Schedule,,
,dot,1854,,House built,"(BIG)The Rogers  sold their son, Charles P. Rogers, a portion of their property near Longwood and gave the rest to him.  Bleak House may have been completed by now and James B. and Margaret Rogers may have moved into it.",,2,#0000ff,,,,,,,,,,,
,dot,1856,,Wife dies,(BIG)Margaret Rogers died in December.  An increase in value of the property on tax records indicates that Bleak House was completed.<br><br>Rogers gave another 8-year-old enslaved child to his daughter Martha and two enslaved females to his son William.,,3,#0000ff,,,,,,,,,,,
,dot,1857,,1857 slave gifts,"(BIG)Rogers gave an enslaved boy, 8, to his daughter Martha.",,4,#0000ff,,,,,,,,,,,
,dot,1858,,1858 slave gift,"(BIG)Rogers gave an enslaved girl to his son, William.",,5,#0000ff,,,,,,,,,,,
,triup,1860,,1860 slave schedule,,,6,#b45f06,,,,,,,,,show:1860Schedule,,
,triup,1863,,James B. Rogers dies,,,1,#b45f06,,,,,,,,,show:inventory,,
,dot,1864,,Estate sale held,(BIG) James B. Rogers died and the sale of his estate was held. The enslaved were not sold.,,2,#0000ff,,,,,,,,,,,
,star,1865,,Emancipation,End of the Civil War and Emancipation of all slaves.(BIG),,3,#ff0000,16,,,,,,,,,,
,dot,1867,,Bleak House for sale,"(BIG)Bleak House is offered for sale, 1867.",,4,#0000ff,,,,,,,,,,,
,triup,1870,,1870 census,"First Federal Census on which all freed slaves appear with first and last names and ages. Family groupings appear. Some of the freed slaves at Bleak House appear twice on this census. It looks like some may have been living in two locations, one still on Bleak House land, the other showing they were moving to new lives and homes.",,5,#b45f06,,,,,,,,,show:1870Census,,
,triup,1869,,Map of sites,,,6,#b45f06,,,,,,,,,show:map2,,
woodWill,booklet,,,Will of David Wood,"<p>pic(http://farm6.static.flickr.com/5097/5476584408_533927bcce_b.jpg) <strong>April 8, 1818</strong></p><p>Wood&#39;s will $550 and left a male slave named Arthur, valued at $450 to his daughter Margaret Wood. Margaret is the future wife of James Rogers.</p>",,,,$33.00,,,,,,,,,,
