id,marker,start,end,title,desc,pic,pos,color,size,opacity,edge,mapMarker,mapColor,mapSize,where,show,click,citation,tags
born,triup,4/13/1743,,Jefferson Born,"Thomas Jefferson was born to Jane Randolph and Peter Jefferson.<br />Location: Shadwell plantation, Albemarle County, VA",https://www.monticello.org/sites/default/files/uploaded-content-images/Shadwell%20Reconstruction_sm_0.jpg,1,#ffa500,,,,star,,,"-78.394,38.0127",,"where:-78.394,38.0127,20+story:st7+popup:born",,
wm,dot,8/1/1760,6/1/1762,William and Mary,"Jefferson attends the College of William and Mary. He studies mathematics and philosophy with William Small of Scotland. He learns French, practices the violin, and gains a reputation for studiousness.",http://www.wm.edu/about/images/1800-1849/college-yard-1840.jpg,2,#ffa500,,,,,,,"-76.7075,37.270",,"where:-76.7124,37.2711,2+story:st8",,
mont,dot,11/2/1769,,Monticello,"Jefferson starts builidng Monticello at the top of an 867-foot mountain inherited from his father. <br />Location: Albemarle County, VA",https://www.monticello.org/sites/default/files/uploaded-content-images/5361_House_Garden_FloorPlan_1_small.jpg,3,#ffa500,,,,,,,"-78.4531,38.01",,"where:-78.4532,38.0102,2",,
marry,dot,1/1/1772,,Marries Martha Skelton,"Jefferson marries Martha Wayles Skelton, a widow aged twenty-three.",http://cdn.history.com/sites/2/2014/02/marthajefferson2-AB.jpeg,4,#ffa500,,,,,,,,,"where:-78.4529,38.0072,2",,
declare,dot,6/7/1776,,Drafts the Declaration,Congress appoints a committee to draft the declaration of independence in anticipation of the approval of Richard Henry Lee's resolution.,https://www.loc.gov/exhibits/declara/images/geow.jpg,1,#ffa500,,,,,,,"-75.1434,39.9662",,"where:-75.2186,39.9661,38+show:book",,
gov,dot,1/3/1779,,Election as Governor,Jefferson is elected governor of Virginia for a one-year term.,https://upload.wikimedia.org/wikipedia/commons/e/e6/Rebellion_to_Tyrants_colonial_medal_Virginia.jpg,2,#ffa500,,,,,,,"-77.4405,37.54",,"where:-77.4409,37.5388,5",,
note,dot,11/14/1804,11/19/1804,Notes from the State of Virginia,"Notes on the State of Virginia (1785) is a book written by Thomas Jefferson. He completed the first version in 1781, and updated and enlarged the book in 1782 and 1783.",http://docsouth.unc.edu/southlit/jefferson/jeffetp.jpg,2,#ffa500,,,,,,,,,"show://en.wikipedia.org/wiki/Notes_on_the_State_of_Virginia,map",,
pres,dot,3/4/1801,3/4/1809,Elected Presiden!,Twice elected as the 3rd president of the United States,http://4.bp.blogspot.com/-DbbyYkBvKw0/TV3oogZMqtI/AAAAAAAAABY/bf2HFsH4fxk/s1600/thomas-jefferson-big.jpg,4,#ffa500,,,,,,,"-77.0124,38.8903",,"where:-77.0124,38.8903,2",,
uva,dot,1/25/1819,,Founds University of Virginia,"The University of Virginia in Charlottesville, Virginia receives its charter from the Commonwealth of Virginia.<br>link(UVa website,//en.wikipedia.org/wiki/University_of_Virginia)",https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Rotunda_UVa_from_the_south_east.jpg/240px-Rotunda_UVa_from_the_south_east.jpg,4,#ffa500,,,,,,,"-78.5038,38.035",,"where:-78.5038,38.0352,2",,
death,tridown,7/4/1826,,Death,"Thomas Jefferson dies from a number of health problems on July 4th, 1826 at the age of 83. He was buried at a graveyard in Monticello.",https://s-media-cache-ak0.pinimg.com/736x/5c/1a/d3/5c1ad3f0783a5e23c5617c9cc3d3dcf5.jpg,1,#ffa500,,,,,,,,,zoomer:https://upload.wikimedia.org/wikipedia/commons/1/1e/Thomas_Jefferson_by_Rembrandt_Peale%2C_1800.jpg,,
wb1,over,,,1982 map of Williamsburg,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Williamsburg%2C_Virginia%2C_1782.jpg/1280px-Williamsburg%2C_Virginia%2C_1782.jpg,,,,60,,,,,"37.28037036695943,37.261386570032045,-76.69852961015566,-76.73291552972658,0",,,,
