id,marker,start,end,title,desc,pic,pos,color,size,opacity,edge,mapMarker,mapColor,mapSize,where,show,click,citation,tags
San Ciriaco,dot,6/14/1899,6/14/1899, San Ciriaco 1899,"On September 8, 1899, Hurricane San Ciriaco hit Puerto Rico just one year after the U.S. occupation of the island during the War of 1898. This Category 4 hurricane captured the souls of over 3,000 people. The U.S. military occupational government commanded by General George Davis wrote a report that advocated for the U.S. to switch Puerto Rico's economy from coffee production to sugar production in order to align with American interests. Davis also testified before Congress that Puerto Rico, because of the state of disarray the San Ciriaco caused, should become a possession of the United States and not granted autonomy. Puerto Rico's status as a territory became codified in the Foraker Act of 1900.",https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.loc.gov%2Frr%2Fhispanic%2F1898%2Fsanciriaco.html&psig=AOvVaw18FogNnV9Zu7pmaS7YzmIP&ust=1623778857182000&source=images&cd=vfe&ved=0CAIQjRxqFwoTCNCes-LVl_ECFQAAAAAdAAAAABAD,,#00ff00,,,,dot,#00ff00,,"-66.0656,17.9626",,,"Davis, Brigadier General George W. Report of Brigadier General George W. Davis U.S.V. on the Civil Affairs of Puerto Rico 1899. Washington: Government Printing Office, 1900. Hearings Before the Committee on Pacific Islands and Puerto Rico of the United States Senate on Senate Bill 2264, To Provide A Government For the Island of Puerto Rico and For  Other Purposes. Washington: Government Printing Office, 1900.",
U.S. Military Occupation,segment,1898,1901,U.S. Military Occupation,,,,#999999,,,,,,,,,,,
,segment,1901,1947,American Civil Government,,,,#999999,,,,,,,,,,,
,segment,1948,2017,Puerto Rican Elected Government Period,,,,#999999,,,,,,,,,,,
San Zacarias,dot,1910,1910,San Zacarias 1910,,,,#9900ff,,,,,#9900ff,,"-66.4572,17.8791",,,,
San Hipolitio,dot,1916,1616,San Hipolitio 1916,,,,#9900ff,,,,,#9900ff,,"-65.67,18.191",,,,
San Pedro 1921,segment,9/1921,9/1921,San Pedro 1921,,,,#9900ff,,,,dot,#9900ff,,"-67.1993,18.0825",,,,
San Liborio 1926,segment,7/1926,7/1926,San Liborio 1926,,,,#9900ff,,,,dot,#9900ff,,"-67.1829,18.1371",,,,
San Felipe 1928,segment,9/1928,9/1928,San Felipe 1928,,,,#9900ff,,,,dot,#9900ff,,"-66.1563,17.9403",,,,
,,,,,\,,,,,,,,#9900ff,,,,,,
San Nicolas 1931,dot,9/1931,9/1931,San Nicolas 1931,,,,#9900ff,,,,dot,#9900ff,,"-66.1101,18.4704",,,,
San Ciprian 1932,dot,9/1932,10/1932,San Ciprian 1932,,,,#9900ff,,,,dot,#9900ff,,"-65.6293,18.2652",,,,
San Mateo 1949,dot,9/1949,9/1949,San Mateo 1949,,,,#ff0000,,,,dot,#ff0000,,"-66.6877,17.8096",,,,
San Calixto 1943,dot,10/1943,10/1943,San Calixto 1943,,,,#9900ff,,,,dot,#9900ff,,"-67.1894,17.8825",,,,
Santa Clara 1956,dot,8/1956,8/1956,Santa Clara 1956,,,,#ff0000,,,,dot,#ff0000,,"-65.9933,18.0034",,,,
San Lorenzo 1960,dot,9/1960,9/1960,San Lorenzo 1960,,,,#ff0000,,,,dot,#ff0000,,"-65.6233,18.3253",,,,
Edith 1963,dot,9/1963,9/1963,Edith 1963,,,,#ff0000,,,,dot,#ff0000,,"-67.1195,17.7805",,,,
Faith 1966,dot,8/1966,8/1966,Faith 1966,,,,#ff0000,,,,dot,#ff0000,,"-65.5761,18.4575",,,,
Inez 1966,dot,9/1966,9/1966,Inez 1966,,,,#ff0000,,,,dot,#ff0000,,"-66.866,17.7224",,,,
Beulah 1967,dot,9/1967,9/1967,Beulah 1967,,,,#ff0000,,,,dot,#ff0000,,"-67.3217,17.8019",,,,
Eloise 1975,dot,9/1975,9/1975,Eloise 1975,,,,#ff0000,,,,dot,#ff0000,,"-65.4831,18.3829",,,,
David 1979,dot,8/1979,8/1979,David 1979,,,,#ff0000,,,,dot,#ff0000,,"-67.0008,17.8125",,,,
Frederic 1979,dot,9/1979,9/1979,Frederic 1979,,,,#ff0000,,,,dot,#ff0000,,"-65.7879,18.0995",,,,
