start,end,title,desc,pic,pos,marker,color,size,opacity,edge,mapMarker,mapColor,mapSize,where,show,click,id,citation,tags
,,General La Guette Paths: Introduction,,,,,,,,,,,,,,,,,
01/1925,12/2011,Vienna,The children assemble at the Westbahnhof train station in Vienna and leave for France.,,,,#363997,,,,Diamond,,,"16.3377, 48.1968, 2000",,"where: 16.3377, 48.1968, 2000",i-vileave,,
01/1925,12/2011,Palatinate,The children assemble at the train station in the Palatinate and leave for France.,,,,#363997,,,,Diamond,,,"7.4680, 49.6330, 2000",,"where: 7.467993, 49.632963, 2000",i-paleave,,
01/1925,12/2011,Berlin,The children assemble at the train station in Berlin and leave for France.,,,,#363997,,,,Diamond,,,"13.3761, 52.5090, 2000",,"where: 13.376145, 52.508960, 2000",i-beleave,,
01/1925,12/2011,Château de la Guette,"The children arrive at Château de la Guette, located outside of Paris in Villeneuve-Saint-Denis (Seine-et-Marne).",,,,#363997,,,,Diamond,,,"2.774872, 48.820297, 2000",,"where: 2.774872, 48.820297, 2000",i-guette,,
01/1925,12/2011,"Hôtel des Anglais, La Bourboule",The children flee from Château de la Guette to Hôtel des Anglais in La Bourboule (Puy-de-Dôme) to avoid the German occupation of northern France.,,,,#363997,,,,Diamond,,,"2.735165, 45.587787, 2000",,"where: 2.735165, 45.587787, 2000",i-bourboule,,
01/1925,12/2011,United States,35 La Guette children immigrated to the United States in the summer of 1941.,,,,#363997,,,,Diamond,,,"-100, 40, 2000",,"where: -100, 40, 2000",i-usa,,
01/1925,12/2011,France,Some of the La Guette children hid in France for the duration of the war.,,,,#363997,,,,Diamond,,,"1.5321, 45.1583, 2000",,"where: 1.5321, 45.1583, 2000",i-france,,
01/1925,12/2011,Switzerland,Some of the La Guette children hid in France and then fled illegally over the border to Switzerland during the war.,,,,#363997,,,,Diamond,,,"6.15, 46.2, 2000",,"where: 6.15, 46.2, 2000",i-switzerland,,
01/1925,12/2011,Deportation,At least 10 of the La Guette children were arrested and deported. All but one of these children were killed.,,,,#363997,,,,Diamond,,,"18.145833, 50.335278, 2000",,"where: 18.145833, 50.335278, 2000",i-deportation,,
,,,,,,,,,,,,,,,,,,,
,,General La Guette Paths: Conclusion,,,,,,,,,,,,,,,,,
01/1925,12/2011,Vienna,The children assemble at the Westbahnhof train station in Vienna and leave for France.,,,,#363997,,,,Diamond,,,"16.3377, 48.1968, 2000",,"where: 16.3377, 48.1968, 2000",g-vileave,,
01/1925,12/2011,Palatinate,The children assemble at the train station in the Palatinate and leave for France.,,,,#363997,,,,Diamond,,,"7.4680, 49.6330, 2000",,"where: 7.467993, 49.632963, 2000",g-paleave,,
01/1925,12/2011,Berlin,The children assemble at the train station in Berlin and leave for France.,,,,#363997,,,,Diamond,,,"13.3761, 52.5090, 2000",,"where: 13.376145, 52.508960, 2000",g-beleave,,
