id,marker,start,end,title,desc,pic,pos,color,size,opacity,edge,mapMarker,mapColor,mapSize,where,show,click,citation,tags
,segment,1695,1774,Early America,,,,#cccccc,equal,,,,,,"-76.7725,39.3289",,story:st1,,
,segment,1780,1811,Revolution,,,,#cccccc,,,,,,,,,story:st2,,
,segment,1814,1857,Antebellum,,,,#cccccc,,,,,,,,,story:st3,,
,segment,6/1859,1865,Civil War,,,,#cccccc,,,,,,,,,story:st4,,
,segment,1868,1910,Reconstruction,,,,#cccccc,,,,,,,,,story:st5,,
,segment,1915,1940,World Wars,,,,#cccccc,,,,,,,,,story:st6,,
,segment,1947,2000,Present,,,,#cccccc,,,,,,,,,story:st7,,
,segment,,,Show all,,,,#cccccc,,,,,,,,,story:intro,,
,,,,,,,,,,,,,,,,,,,
heater,dot,1699,,Heater's Island,"(BIG)<em><strong>1699 - Burr Harrison and Giles Vandercastle visit the Piscataway village on Heater&rsquo;s Island in the Potomac </strong></em><p>The link(Piscataway,https://en.wikipedia.org/wiki/Piscataway_people) tribe settled in Fauquier County near Thoroughfare Gap in the late 1600s before moving into Loudoun County. Virginia officials Harrison and Vandercastle found a fort and 27 cabins providing shelter for approximately 300 people. This is one of the earliest recorded link(contacts,https://mdhistoricaltrust.wordpress.com/2015/04/24/heaters-island-piscataway) between Native Americans and white settlers in the Heritage Area.</p>",https://farm5.staticflickr.com/4914/45352821694_b01b7cca93_o_d.jpg,1,#3498db,,,,,,,"-77.5323,39.266",g,"where:-77.5313,39.2495,13",Painting by William Woodward,
albany,dot,8/22/1722,,Treaty of Albany,"(BIG)<em><strong>August 22, 1722 - Treaty of Albany is ratified</strong></em><p>Governor link(Alexander Spotswood,https://en.wikipedia.org/wiki/Alexander_Spotswood) of Virginia, the five Iroquois nations, and remnants of the Powhatan tribes agreed to a treaty, accepting that the Native Americans would keep their settlements west of the Blue Ridge Mountains. This <a href=""http://treatiesportal.unl.edu/earlytreaties/treaty.00001.html"" target=""_blank""> treaty</a> allowed white settlers to move into the Virginia Piedmont.</p>",https://farm5.staticflickr.com/4878/46077139191_d129c0a0f3_z_d.jpg,2,#3498db,,,,,,,,g,"where:-78.5605,37.9433,1223","Lewis Evans, A general map of the middle British colonies, Library of Congress",
pwc,dot,1731,1732,Prince William,"(BIG)<em><strong>1731- An act of the Virginia General Assembly creates Prince William County The new county was formed out of portions of King George and Stafford Counties</strong></em><p>The county takes its name from link(Prince William Augustus,https://en.wikipedia.org/wiki/Prince_William,_Duke_of_Cumberland), Duke of Cumberland &mdash; a son of link(King George II,https://en.wikipedia.org/wiki/George_II_of_Great_Britain).</p>",https://farm5.staticflickr.com/4832/44261245520_c6b57835fe_o_d.png,3,#3498db,,,,,,,,g,"where:-77.5047,38.7314,150",1755 Fry-Jefferson map of Virginia,
water,dot,1733,,Waterford,"<em><strong>1733 - The Village of Waterford is founded</strong></em><p>Quaker leader link(Amos Janney,https://www.waterfordhistory.org/history/waterford-origins) moved to the Loudoun Valley in search of fertile land. Other Quakers soon joined him and founded the village of Waterford. The town soon had a mill, meeting house, and several shops. Within ten years, a second Quaker village &mdash; Goose Creek &mdash; was established in Loudoun County. Today both Waterford and Goose Creek (now called Lincoln) remain relatively unchanged and stand as models of historic preservation.</p>",https://farm5.staticflickr.com/4877/45165921535_1986953ffe_o_d.jpg,4,#3498db,,,,,,,"-77.609,39.1844",g,"where:-77.6108,39.186,4",www.waterfordhistory.org/maps/,
chap,dot,1742,,Chapman-Beverly Mill,"<em><strong>1742 - Chapman-Beverly Mill is built in Thoroughfare Gap</strong></em><p>Jonathan and Nathaniel Chapman built the link(mill,https://www.chapmansmill.org) and enlarged it in 1758. The mill processed wheat and corn, helping Northern Virginia&rsquo;s farms prosper. Crops that passed through the mill went to Alexandria, where they could be shipped and sold to markets around the world.</p>(BIG)",https://farm5.staticflickr.com/4907/46025351242_f2fa8d12c6_o_d.jpg,5,#3498db,,,,,,,"-77.701832,38.825247",g,"where:-77.7026,38.8193,4",,
green,dot,1748,,Greenway Court,"(BIG)<em><strong>1748 - Greenway Court Established</strong></em><p>Located near White Post in Clarke County, Greenway Court was the home of link(Thomas Fairfax,https://en.wikipedia.org/wiki/Thomas_Fairfax), Sixth Lord Fairfax. He owned the land stretching from the Rappahannock River to the Potomac River and from the Chesapeake Bay west to the Appalachian Mountains, an area also known as the Fairfax Grant. He lived at link(Greenway Court,https://en.wikipedia.org/wiki/Greenway_Court,_Virginia) from 1752 until his death in 1781.</p>",https://farm5.staticflickr.com/4857/45167027405_9655039bba_o_d.jpg,6,#3498db,,,,,,,"-78.119167,39.046111",g,"where:-78.1193,39.0446,1",,
brad,dot,4/1755,,Braddock Expedition,"<em><strong>April 1755 - The Braddock Expedition marches through Loudoun County</strong></em><p>In the spring of 1755 more than one thousand British soldiers landed in Alexandria under the command of General link(Edward Braddock,https://en.wikipedia.org/wiki/Edward_Braddock); their mission was to drive the French from Fort Duquesne (modern Pittsburgh). Accompanying the force was a large number of Colonial troops and officers, among them George Washington, Daniel Boone, and link(Daniel Morgan,https://en.wikipedia.org/wiki/Daniel_Morgan). A portion of the army marched through Loudoun County from Sugarland Run, through Leesburg, and westward to Keyes Gap. Braddock and his men met with disaster later that summer at the Battle of Monongahela.</p>",https://farm5.staticflickr.com/4855/44259176870_5029ccbb7a_o_d.jpg,7,#3498db,,,,,,,,g,"where:-78.5947,39.5514,815","Route of the Braddock Expedition. *Campaigns of the American Revolution, 1775-1781 **1755 - Braddock's Expedition June-July 1755 From: [http://www.lib.utexas.edu/Libs/PCL/Map_collection/histus.html] ""Courtesy of the University of Texas Librarie",
