id,marker,start,end,title,desc,pic,pos,color,size,opacity,edge,mapMarker,mapColor,mapSize,where,show,click,citation,tags
overview,story,,,Newman to Now,"<p><a href=""http://newmansmemphis.com"" target=""_blank""><img alt="""" src=""http://newmansmemphis.com/wp-content/uploads/2019/06/Newmans-logo-noBG.png"" style=""float:left; width:100%"" /></a></p><p><span style=""font-size:18px"">The Newman to Now Project is designed by Memphis Heritage and partially funded by Humanities Tennessee, an independent affiliate of the National Endowment for the Humanities. &nbsp;It&nbsp;uses the historic photographs taken by Don Newman between the 1940s and 60s and contemporary photographs of the same sites taken by photographer Gary Walpole to explore continuity and change in Memphis&#39; built environment.</span></p><p><span style=""font-size:18px"">This exhibit uses the photographs, along with newspaper articles, interviews, and a virtual walking tour to explore these forces. &nbsp;Enjoy exploring the Memphis of Don Newman and the Memphis of Now.</span><br />&nbsp;</p><p><a href=""http://memphisheritage.org""><img alt="""" src=""http://newmansmemphis.com/wp-content/uploads/2019/06/memphis-heritage-logo-bw-transparent.png"" style=""float:left; width:38%"" /></a>&nbsp;&nbsp;</p><p><a href=""https://www.humanitiestennessee.org"" target=""_blank""><img alt="""" src=""https://www.humanitiestennessee.org/wp-content/uploads/2018/09/HmTN_Logo_2Color_RGB.png"" style=""float:right; width:48%"" /></a></p>",,,,,,,,,,"-90.0368,35.1309,19",,,,
intstructions,story,,,Instructions,"<p><br /><span style=""font-size:18px""><strong>Map Key:</strong></span></p><p><span style=""font-size:16px""><strong><span style=""color:#023e73"">&diams; &nbsp;Continuously Used </span><br /><br /><span style=""color:#027333"">&diams; &nbsp;Adaptively Reused </span></strong><br /><br /><span style=""color:#a6800f""><strong>&diams; &nbsp;Potential for Reuse</strong></span><br /><br /><span style=""color:#8c041d""><strong>&diams; &nbsp;Altered or Destroyed</strong></span><br /><br /><span style=""color:#91c5f2""><strong>► &nbsp;Streets and Districts</strong></span></span><br />&nbsp;</p><p><br /><span style=""font-size:18px""><strong>Timeline Key:</strong></span></p><p><span style=""font-size:20px""><strong><span style=""color:#999999"">●</span></strong></span><span style=""font-size:16px""><strong>&nbsp;&nbsp;<span style=""color:#999999"">Building opened</span></strong></span><br /><br /><span style=""font-size:20px""><strong><span style=""color:#027333"">●</span></strong></span><span style=""font-size:16px""><strong><span style=""color:#027333""> &nbsp;</span><span style=""color:#027333"">Building reopened</span></strong></span><br /><br /><span style=""font-size:20px""><strong><span style=""color:#a6800f"">●</span></strong></span><span style=""font-size:16px""><strong><span style=""color:#a6800f""> &nbsp;Business closed</span></strong></span><br /><br /><span style=""font-size:20px""><strong><span style=""color:#8c041d"">●</span></strong></span><span style=""font-size:16px""><strong><span style=""color:#8c041d"">&nbsp;</span><span style=""color:#a6800f""> </span></strong><span style=""color:#990000""><strong>Building significantly altered or destroyed</strong></span></span><br /><br /><span style=""font-size:20px""><strong><span style=""color:#91c5f2"">●</span></strong></span><span style=""font-size:16px""><strong><span style=""color:#8c041d""> &nbsp;</span></strong><span style=""color:#91c5f2""><strong>Streets and Districts</strong></span></span><br />&nbsp;</p><p><br /><span style=""font-size:18px""><strong>Other Instructions:</strong></span></p><p><span style=""font-size:16px"">This exhibit displays best when viewed in full screen.</span></p><p><span style=""font-size:16px"">Click on photos, blue text, map markers, and timeline markers to explore this interactive visualization.</span></p><p><span style=""font-size:medium"">Click <a href=""http://www.memphisheritage.org/newman-to-now-lesson-plans/"">here</a> for lesson plans to accompany this exhibit.</span></p>",,1,,,,,,,,"-90.0368,35.1309,19",,,,
aboutDon,story,,,About Don Newman,"<p><img alt="""" src=""http://newmansmemphis.com/wp-content/uploads/2014/05/j25newman5_t160.jpeg"" style=""float:left; margin-left:10px; margin-right:10px; width:30%"" /><span style=""font-size:15px"">During the 1940&rsquo;s 50&rsquo;s and 60&rsquo;s, Don Newman photographed Memphis, especially the downtown area, using an 8&Prime; x 10&Prime; view camera.</span></p><p><span style=""font-size:14px"">Newman was a native Memphian. Born in 1919, he graduated from Tech High School in 1937 and began working for the commercial and industrial photographer George Haley shortly after graduation. In 1939 Don married Bertha Mae to whom he was married until he passed away in 1994.</span></p><p><span style=""font-size:14px"">Newman worked briefly as a photographer for the Memphis Engraving Company, and then for Frank Hitchings, whom he eventually bought out with Jack Fury after Hitching&rsquo;s retirement. Many of the photographs in the Newman archive were produced for assignments or jobs, however a large number were made to satisfy his personal curiosity and interests.</span></p><p><span style=""font-size:14px"">The photographs are black and white, and the scenes are familiar to Memphians born after Newman&rsquo;s time.</span></p><p><span style=""font-size:14px"">The equipment &ndash; an 80-pound tripod, 25-pound view camera and 10 film holders, each the size of a large briefcase &ndash; would be carried around town. A photographer in 1950 in the middle of a Memphis summer had his work cut out for him.</span></p><p><span style=""font-size:14px"">For more than four decades, a man of great aspirations captured a city with a great ambition. If a picture is worth a thousand words, then Don Newman&rsquo;s photographs give us a history book&rsquo;s worth of tales. They are the stories of where people shopped, what they wore, the cars they drove and spaces where they worked, ate and played.</span></p><p>.</p><iframe width=""560"" height=""280"" src=""https://www.youtube.com/embed/RLbPnyYZnLg"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe><iframe width=""560"" height=""280"" src=""https://www.youtube.com/embed/jxz53aMNowo"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe><p>&nbsp;</p>",,1,,,,,,,,"-90.0368,35.1309,19",,,,
introArtist,story,,,Don Newman's Artistry,"<p><span style=""font-size:16px"">Not only did Don Newman capture Memphis at a particular moment, but he was also a true artist. These photographs showcase his artistic eye.</span><br />&nbsp;</p><table style=""width:100%""><tbody><tr><td style=""text-align:center; width:50%"">booklet(<img alt="""" src=""http://newmansmemphis.com/wp-content/uploads/2019/05/02-ARTISTRY-71460-BealeSt.Sign-WEB.jpg"" style=""width:75%"" />,artistryPhoto1)<br /><span style=""font-size:9px"">(This is June West&#39;s booklet(favorite Newman photo,photoVideo).)</span></td><td style=""text-align:center"">booklet(<img alt="""" src=""http://newmansmemphis.com/wp-content/uploads/2019/05/01-ARTISTRY-71469-Beale@Night-WEB.jpg"" style=""width:95%"" />,bealePhoto1)</td></tr></tbody></table><table align=""center"" style=""width:38%""><tbody><tr><td style=""text-align:center"">booklet(<img alt="""" src=""http://newmansmemphis.com/wp-content/uploads/2019/05/04-ARTISTRY-71512-MadisonAve-WEB.jpg"" style=""width:85%"" />,artistryPhoto3)</td></tr></tbody></table>",,1,,,,,,,,"-90.0368,35.1309,19",,,,
photoVideo,booklet,,,,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/Esu_9Y4TlQM"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",,,,,,,,,,"-89.9846,35.1274",,,,
photography,story,,,Photography Then And Now,"<table cellpadding=""2"" cellspacing=""2"" style=""width:100%""><tbody><tr><td style=""width:35%""><img alt="""" src=""https://ci3.googleusercontent.com/proxy/iZHZxB1ZwzLVwERIJGIR18wtXdvMyfYohfJ8FxGJCHEQUyQRpuvaDPka0JOWXh9ainHHJhRmq-2mtprxOYP0ToypBAOlaFkYcBw5CSpqWCBsB8PmkzSGWfHyhmVyBIvxx6HlDEqBcazZ=s0-d-e1-ft#https://files.constantcontact.com/5e8bde87001/eec905c8-80b9-451c-a6ee-c3f5526010f1.png"" style=""width:95%"" /></td><td><span style=""font-size:14px"">Photography has undergone significant changes since the 1940s when Don Newman was beginning his career.&nbsp; In the videos below, Mrs. Bertha Newman discusses her husband&#39;s photographic process and photographer Gary Walpole demonstrates the type of camera used by Don Newman.</span></td></tr></tbody></table><iframe width=""550"" height=""270"" src=""https://www.youtube.com/embed/ZcvcvdGh3o0"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe><iframe width=""550"" height=""270"" src=""https://www.youtube.com/embed/BcXHc07PnVA"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",,1,,,,,,,,"-90.0368,35.1309,19",,,,
aboutMemphis,story,,,Memphis,"<p>auto(show:memphisBook)</p><iframe width=""560"" height=""298"" src=""https://www.youtube.com/embed/U6ExnNAMhQY"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe><iframe width=""560"" height=""298"" src=""https://www.youtube.com/embed/y__pT0GWPC8"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",,1,,,,,,,,"-89.9977,35.1376,38",,,,
memphisBook,booklet,,,,<img src='http://newmansmemphis.com/wp-content/uploads/2019/05/21-Riverfront-Skyline-648-WEB.jpg' width='100%'>,,,,40,,,,,,"-90.0368,35.1309",off,,,
memphisOver,over,,,,,,,,,,,,,,,,,,
architecture,story,,,Architecture,"<p><span style=""font-size:15px"">The architectural styles chosen by the architects and developers of our early streetscapes speak volumes about the times in which they were built, as well as the people who built them. Architecture is a reflection of the style of the day, the ethos of the day, and the inventions and limitations in building materials and technology of the day. This section of the&nbsp;Newman to Now Digital Exhibit explores various architectural styles found in Memphis, and photographed by Don Newman, and places them in the context of their architectural history.&nbsp;</span><br />&nbsp;</p><p><span style=""font-size:13px"">story(<strong>Italianate</strong>,italianateStory)</span><br />&nbsp;</p><p><span style=""font-size:13px"">story(<strong>Gothic Revival / Commercial Gothic</strong>,gothicStory)</span><br />&nbsp;</p><p><span style=""font-size:13px"">story(<strong>Romanesque Revival</strong>,romanesqueStory)</span><br />&nbsp;</p><p><span style=""font-size:13px"">story(<strong>Beaux Arts</strong>,beauxStory)</span><br />&nbsp;</p><p><span style=""font-size:13px"">story(<strong>Sullivanesque / Chicago Style</strong>,chicagoStory)</span><br />&nbsp;</p><p><span style=""font-size:13px"">story(<strong>Italian Renaissance Revival</strong>,renaissanceStory)</span><br />&nbsp;</p><p><span style=""font-size:13px"">story(<strong>Commercial Vernacular</strong>,commercialStory)</span><br />&nbsp;</p><p><span style=""font-size:13px"">story(<strong>Hollywood Baroque Revival</strong>,hollywoodStory)</span><br />&nbsp;</p><p><span style=""font-size:13px"">story(<strong>Art Deco</strong>,artdecoStory)</span><br />&nbsp;</p><p><span style=""font-size:13px"">story(<strong>Mid-Century Modern</strong>,midcenturyStory) </span></p>",,,,,,,,,,"-90.0368,35.1309,19",,,,
