id,marker,start,end,title,desc,pic,pos,color,size,opacity,edge,mapMarker,mapColor,mapSize,where,show,click,citation,tags
store,star,1880,,Unison Store,"Prominently located at the junction of Unison and Bloomfield Roads, the Unison Store is the only surviving late-nineteenth-century store in the district and is a fine example of commercial architecture from that era. (BIG)",https://secureservercdn.net/104.238.68.196/f7j.01a.myftpupload.com/wp-content/uploads/2021/05/Unison-Store-THS-photo-with-border.jpg,,#ff0000,,,,star,#ff0000,20,"-77.7908,39.0356",,story:s-Store,,
s-Open,story,,,Village houses,"The heart and history of every town and village are written in the structures and facades of its dwelling and buildings. Situated in a rural area of southwest Loudoun County, Virginia, Unison village is clustered around a dogleg crossroads and contains approximately twenty properties that front along its two main roads: Unison and Bloomfield Roads. <p>Officially established by the General Assembly in 1813 the village contained a portion that had been surveyed out into ten &frac12;-acre lots a year earlier. The period of greatest development in the village occurred shortly after its establishment and continued until the Civil War. During that time, houses were built along with commercial, religious, and transportation-related resources.</p><p>The majority of buildings are dwellings and their associated outbuildings and are generally sited right along the road, with the exception of the more rural properties located at the west and east ends of the village. The village reveals a long history in the interesting mix of dwellings that comprise centuries of building styles, designs, and businesses.</p><p>We have collected photographs and short histories of each of the notable houses within the village, as well as several important properties just beyond the bounds of the village within 1 mile. Each house and dwelling listed in the tables below is linked to a page with photographs and history of that particular dwelling.</p> <p>All color photographs were all taken in June 2010, unless noted otherwise.</p>",https://secureservercdn.net/104.238.68.196/f7j.01a.myftpupload.com/wp-content/uploads/2021/05/Unison-small.jpg,,,,,,,,,,,,,
s-Store,story,1880,,Unison Store,"<span style=""font-size:small""><span style=""color:#000000""><span style=""font-family:Arial"">Prominently located at the junction of Unison and Bloomfield Roads, the Unison Store is the only surviving late-nineteenth-century store in the district and is a fine example of commercial architecture from that era. Constructed ca. 1880 by Lycergus E. Hutchison, the two-story, three-bay, gable-end frame store rests on a stone foundation. To the side is a one-bay, two-story frame addition with parapet. A four-bay porch with square posts and sawn brackets extends across the front of the entire store uniting the two sections.</span></span></span><p style=""text-align:start""><span style=""font-size:small""><span style=""color:#000000""><span style=""font-family:Arial"">The store gained local notoriety when it was the site of a 1937 robbery/murder of its 83-year-old owner, Henry Saffel, but that was about as much excitement as the store would ever see again. The building continued to operate as a country store for the next half century, later adding a gas pump (Phillips 66), for the growing number of cars now traveling the local roads, and a pool table in the back room for some of the &quot;local boys&quot; who wanted an evening&#39;s diversion.</span></span></span></p><p style=""text-align:start""><span style=""font-size:small""><span style=""color:#000000""><span style=""font-family:Arial"">However, in early 1990, due to a failing economy and the influx of paved roads out of town that now carried traffic away to bigger towns such as Purcellville, the struggling store finally closed. It remained vacant and deteriorating for several years, its fate finally taken in hand when a committee of locals decided to form an organization to protect and preserve the store, and the village. The store was purchased by Coe &amp; Maria Eldridge who They renovated the old building and converted it to a private office.</span></span></span></p><p style=""text-align:start""><span style=""font-size:small""><span style=""color:#000000""><span style=""font-family:Arial"">Sadly, do to the economic recession in the mid 2000&#39;s the offices were closed, and a year or so later the store was put on the market for sale. The UPS once again rallied to find a buyer that would continue to preserve the store, and also began to explore the idea of purchasing the store through the society for use as a community center. A number of benefactors came forward to help fund the purchase, but without the intervention of a local resident, Dr. Betsee Parker, the road to acquiring the store would have been long and difficult.</span></span></span></p><p style=""text-align:start""><span style=""font-size:small""><span style=""color:#000000""><span style=""font-family:Arial"">When Dr. Betsee Parker, a preservationist and owner of the historic Huntland estate, less than a mile from Unison, first learned the store was for sale, she began to quietly work towards her end goal of purchasing the store as a gift for the Unison Preservation Society.</span></span></span></p><p style=""text-align:start""><span style=""font-size:small""><span style=""color:#000000""><span style=""font-family:Arial"">Dr. Parker, a PhD in theology, philanthropist and patron of the arts, bought and restored Huntland and its stables, kennels and buildings and put them under conservation easement to protect them permanently. She is an avid competitor in hunter jumper shows and last fall she broke the record for the number of horse show championships won by a single owner at Pennsylvania&rsquo;s prestigious Devon Horse Show. Her Huntland team of hunter jumpers then won Junior Hunter championships at both the Pennsylvania National Horse Show and six championships at the Upperville Colt and Horse Show.</span></span></span></p><p style=""text-align:start""><span style=""font-size:small""><span style=""color:#000000""><span style=""font-family:Arial"">The connection between Unison, the Unison Store and Huntland goes back a century to a meeting around the store&rsquo;s pot-bellied stove by the area&rsquo;s avid foxhunters, members of the historic Piedmont Hunt and the smaller Unison Farmers Hunt, which had a well known pack of foxhounds. The two joined forces and Unison&rsquo;s hounds joined the Piedmont Hounds at the newly built Huntland and its kennels, owned by Joseph B. Thomas, master of the Piedmont Hounds and president of the American Foxhound Club. After restoring those kennels in 2011, Dr. Parker, a strong supporter of the Piedmont Hounds, presided over the 100th anniversary celebration of their construction.</span></span></span></p><p style=""text-align:start""><span style=""font-size:small""><span style=""color:#000000""><span style=""font-family:Arial"">With her roots deep in the local history, and her childhood memories willed with happy days playing in the old Unison store, in early April 2013 Dr. Parker purchased the restored store, and at a special celebration filled with music, food, and friends on Sunday, April 21st, Dr. Parker handed over the store keys to the Unison Preservation Society which will make the store a village community/history center and the land around it a village green. As Dr. Parker took center stage to the beaming crowd, she delivered a wonderful little speech about her many times spent playing at the store as a child, and later as an adult, while deep into her theology studies, she would often seek out the store as an oasis of relaxation and peace, a gentle enclave in which to clear her mind between periods of heavy study. Her speech was met with great applause, and as the UPS Board president, Harry Bigley, presented Dr. Parker with a beautiful rose bouquet, the applause swelled enormously.</span></span></span></p><table align=""center"" style=""border:undefined""><tbody><tr><td><img src=""http://unisonva.org/photos/Store-gift-bordered-596x308.jpg"" /><br /><span style=""font-size:x-small"">Dr. Betsee Parker with the Unison Preservation Society Board of Directors receiving the applause of the crowd at the Gifting of the Unison Store party/celebration on April 21st, 2013</span></td></tr></tbody></table><p style=""text-align:start""><span style=""font-size:small""><span style=""color:#000000""><span style=""font-family:Arial"">With the purchase of the building by Dr. Parker, and her very generous gift of it to the UPS, the store is now forever protected.</span></span></span></p><p style=""text-align:start""><span style=""font-size:small""><span style=""color:#000000""><span style=""font-family:Arial"">Unison Preservation Society president Harry Bigley said &quot;Dr. Parker&rsquo;s generous gift will guarantee that the store and its half acre of open space will continue to be the center of village and area life and activity, as it has been for more than 140 years.&quot;</span></span></span></p><p style=""text-align:start"">&nbsp;</p><p style=""text-align:start"">&nbsp;</p><p><img src=""http://unisonva.org/Genealogy/houses/May-09-Unison-old-houses016-small.jpg"" style=""width:400px"" /></p><p style=""text-align:start""><span style=""font-size:small""><span style=""color:#000000""><span style=""font-family:Arial"">The store<br /><em>Excerpt from the National Park Service OMB No. 1024-0018</em></span></span></span></p>",https://unisonpreservation.org/wp-content/uploads/2021/05/Unison-Store-THS-photo-with-border.jpg,,,,,,,,,,,,,
,dot,1820,,Glatton Folly,"Located on the NW corner of the junction of Unison and Bloomfield Roads, and conveniently across the street from the Unison Store is the c.1820 Glatton Folly, a two-and-one-half-story frame dwelling features two exterior-end brick chimneys on the west end, and a full-height two-story portico on the east gable end.(BIG)",https://unisonpreservation.org/wp-content/uploads/2021/05/May-09-Unison-old-houses015-small.jpg,,#76a5af,,,,,,,"-77.7915,39.0354",,story:s-Glatton,,
s-Glatton,story,1820,,Glatton Folly,"<span style=""font-size:small""><span style=""color:#000000""><span style=""font-family:Arial"">Located on the NW corner of the junction of Unison and Bloomfield Roads, and conveniently across the street from the Unison Store is the c.1820&nbsp;<em>Glatton Folly</em>, a two-and-one-half-story frame dwelling features two exterior-end brick chimneys on the west end, and a full-height two-story portico on the east gable end. This portico, with a barrel vault and gable-end returns, is supported by rectangular tapered supports on paneled plinths and shelters a second-story balcony that is supported by brackets with pendants. Doors on each level lead out to either the balcony or the first-floor deck of the portico. The house was remodeled (new siding, windows, porches) in around the later part of the 19th century to reflect more Victorian-era designs.</span></span></span><p style=""text-align:start""><span style=""font-size:small""><span style=""color:#000000""><span style=""font-family:Arial"">Because of its location, it is one of the most visually prominent buildings in town. During the early twentieth century, it was the home of H. W. Saffel, who ran the Unison Store next door. Under the 20th century ownership of Miss Margaret, a former riding teacher of Foxcroft School for Girls, the house was further remodeled to enclose a porch on the back..</span></span></span></p><p><span style=""font-size:x-small""><em>Description excerpts from the National Park Service OMB No. 1024-0018.<br />Photo courtesy of F. Hillman</em></span></p>",https://unisonpreservation.org/wp-content/uploads/2021/05/May-09-Unison-old-houses015-small.jpg,,,,,,,,,,,,,
s-Langcor,story,1830,,Langcor House,"<span style=""font-size:small""><span style=""color:#000000""><span style=""font-family:Arial"">Situated next to Glatton Folly on the main Unison road, this ca. 1830 dwelling was formerly the home of Charles Osbourne, a postmaster and saddlemaker. Charles Osbourne purchased the property at public auction in 1904, the same year he was named postmaster of Unison. Osbourne may have been enticed by the newspaper advertisement that offered the lot of about 3/4 of an acre and ...</span></span></span><p><em>&quot;...a good Frame House containing eleven rooms with garret and cellar, good frame stable and carriage house, hen house, a filtered cemented cistern and other outbuildings. There are also a lot of fruit trees on the premises in good bearing condition.&quot;</em></p><p><span style=""font-size:small""><span style=""color:#000000""><span style=""font-family:Arial"">During Osborne&#39;s residence in Unison the famous Osborne fox hunting saddle was produced and sold for about $25 from the late 1890s until his death in 1925. The stuccoed 2-story gable-roofed dwelling features a gable roof of standing-seam metal, 2 interior-end brick flues, gable-end returns, two front doors, 2/2 windows, and a modern 3-bay front porch with square posts. Attached to the main house is a diminutive 3-bay log house with interior-end brick flue. It is uncertain which section is earlier, but it appears that the two parts of the house were constructed fairly close to each other sometime during the first half of the 19th century. The log section appears to have been used for commercial purposes. Both sections have undergone a fair amount of alteration since Osbourne&#39;s time.</span></span></span></p><p style=""text-align:start""><span style=""font-size:x-small""><em>Description excerpts from the National Park Service OMB No. 1024-0018.<br />Photos courtesy of F. Hillman</em></span></p>",https://unisonpreservation.org/wp-content/uploads/2021/05/May-09-Unison-old-houses001-small.jpg,,000ff,,,,,,,,,,,
,dot,1830,,Langcor House,,https://unisonpreservation.org/wp-content/uploads/2021/05/May-09-Unison-old-houses001-small.jpg,1,#3d85c6,,,,,,,"-77.7861,39.0365",,story:s-Langcor,,
,dot,1810,,Mary Phillips House,"This charming 1 ½-story was constructed of stone, now overlaid with stucco. The house originally had an exterior-end stone chimney that was later replaced with the current semi-exterior-end brick one. Details include 6/6 windows, a 1-bay pedimented portico with square posts and a 2-rail balustrade, and a 6-panel front door.(BIG)",https://unisonpreservation.org/wp-content/uploads/2021/05/May-09-Unison-old-houses005-small.jpg,1,#6aa84f,,,,,,,"-77.7962,39.0339",,story:s-Mary,,
s-Mary,story,1810,,Mary Philips House,"<span style=""font-size:small""><span style=""color:#000000""><span style=""font-family:Arial"">Built ca. 1810 with later additions, this charming 1 &frac12;-story was constructed of stone, now overlaid with stucco. The house originally had an exterior-end stone chimney that was later replaced with the current semi-exterior-end brick one. Details include 6/6 windows, a 1-bay pedimented portico with square posts and a 2-rail balustrade, and a 6-panel front door.</span></span></span><p style=""text-align:start""><span style=""font-size:small""><span style=""color:#000000""><span style=""font-family:Arial"">The house was originally a 3-room plan but an interior partition was removed creating a hall-parlor plan. The woodwork, including double-architrave trim framing 6-panel doors and chair rail with a pattern of alternating reeding and X motifs, is fairly sophisticated for such a small and unpretentious dwelling.</span></span></span></p><p style=""text-align:start""><span style=""font-size:small""><span style=""color:#000000""><span style=""font-family:Arial"">It is always interesting to note features of a house that incorporated elements necessary to the time - especially those that related to the farming customs at the time. Before our modern livestock laws demanded fencing in of farm animals it was common practice to allow them freedom to wander and graze on common lands. Thus, the owners of nearby houses would erect fences to keep the livestock out, and their gardens safe. The elevated entry with steps up was a common construction in rural towns to prevent this ever present wandering livestock, most notably pigs, from making a sudden appearance in the parlor, as most houses had open doors during the warm months to allow better air circulation. Since pigs cannot climb steps or walls, just two or three steps leading up to the dwelling entrance was enough to deter the most determined porcine, cow, or sheep. This dwelling shows that classic raised entryway, along with a covered entrance porch.</span></span></span></p><p style=""text-align:start""><span style=""font-size:small""><span style=""color:#000000""><span style=""font-family:Arial"">A shed-roofed rear brick wing (also stuccoed) appears to date to the mid-19th century, while the exterior-end stone chimney on its west side is modern. The large 2-story rear wing with semi-exterior-end chimney is also a modern addition.</span></span></span></p><p style=""text-align:start""><span style=""font-size:small""><span style=""color:#000000""><span style=""font-family:Arial"">The property also has c. 1880&#39;s Blacksmith Shop - a single-story, frame building with the classic Virginia tin roof and an interior-end brick flue. Henry Saffel owned the property in 1894 and was listed in a state gazetteer as a coach and wagon builder.</span></span></span></p><p style=""text-align:start""><span style=""font-size:small""><span style=""color:#000000""><span style=""font-family:Arial"">The shop was converted into an artist&rsquo;s studio by the current owner who uses the facilities now to make decorative tile.</span></span></span></p><p style=""text-align:start""><span style=""font-size:x-small""><em>Description excerpts from the National Park Service OMB No. 1024-0018.<br />Photos courtesy of F. Hillman</em></span></p>",https://unisonpreservation.org/wp-content/uploads/2021/05/May-09-Unison-old-houses005-small.jpg,,,,,,,,,,,,,
,dot,1815,,Henry Evans House,,,3,#e69138,,,,,,,"-77.7978,39.0325",,story:s-Henry,,
